"Aaden"	["Red Sox", 47, 18]
"Aaliyah"	["Cardinals", 30, 43]
"Aarav"	["Cardinals", 27, 55]
"Aaron"	["Red Sox", 55, 24]
"Abbie"	["Cardinals", 32, 38]
"Abbigail"	["Red Sox", 48, 27]
"Abby"	["Red Sox", 48, 27]
"Abdiel"	["Cardinals", 33, 47]
"Abdullah"	["Red Sox", 52, 20]
"Abel"	["Red Sox", 51, 23]
"Abigail"	["Cardinals", 33, 49]
"Abraham"	["Red Sox", 48, 22]
"Abram"	["Red Sox", 54, 33]
"Abrielle"	["Red Sox", 72, 30]
"Abril"	["Cardinals", 25, 37]
"Ace"	["Cardinals", 21, 40]
"Ada"	["Red Sox", 38, 28]
"Adalyn"	["Cardinals", 33, 55]
"Adalynn"	["Red Sox", 58, 33]
"Adam"	["Red Sox", 52, 29]
"Adan"	["Red Sox", 49, 28]
"Addilyn"	["Red Sox", 51, 30]
"Addison"	["Red Sox", 41, 36]
"Addisyn"	["Cardinals", 36, 43]
"Addyson"	["Cardinals", 37, 44]
"Adelaide"	["Cardinals", 34, 45]
"Adele"	["Cardinals", 35, 45]
"Adelina"	["Cardinals", 26, 50]
"Adeline"	["Red Sox", 62, 27]
"Adelyn"	["Cardinals", 30, 46]
"Adelynn"	["Red Sox", 52, 27]
"Aden"	["Red Sox", 47, 34]
"Aditya"	["Red Sox", 50, 28]
"Adley"	["Cardinals", 29, 49]
"Adonis"	["Cardinals", 35, 41]
"Adrian"	["Red Sox", 46, 34]
"Adriana"	["Cardinals", 32, 51]
"Adrianna"	["Red Sox", 46, 21]
"Adriel"	["Red Sox", 57, 31]
"Adrien"	["Cardinals", 20, 46]
"Adrienne"	["Cardinals", 21, 39]
"Agustin"	["Cardinals", 27, 50]
"Ahmad"	["Cardinals", 47, 48]
"Ahmed"	["Red Sox", 42, 23]
"Aidan"	["Cardinals", 33, 50]
"Aiden"	["Cardinals", 29, 47]
"Aidyn"	["Cardinals", 23, 50]
"Aileen"	["Red Sox", 42, 28]
"Aimee"	["Cardinals", 25, 51]
"Ainsley"	["Cardinals", 26, 46]
"Aisha"	["Cardinals", 27, 46]
"Aiyana"	["Cardinals", 30, 43]
"Akira"	["Red Sox", 48, 32]
"Alaina"	["Red Sox", 44, 26]
"Alan"	["Cardinals", 30, 53]
"Alana"	["Cardinals", 33, 56]
"Alani"	["Cardinals", 22, 50]
"Alanna"	["Cardinals", 29, 46]
"Alannah"	["Cardinals", 33, 39]
"Alaya"	["Red Sox", 44, 34]
"Alayah"	["Cardinals", 23, 42]
"Alayna"	["Cardinals", 40, 50]
"Alaysia"	["Cardinals", 28, 44]
"Albert"	["Cardinals", 25, 39]
"Alberto"	["Cardinals", 23, 47]
"Alden"	["Cardinals", 32, 50]
"Aldo"	["Red Sox", 48, 30]
"Aleah"	["Red Sox", 45, 33]
"Alec"	["Cardinals", 33, 55]
"Aleena"	["Cardinals", 24, 49]
"Aleigha"	["Cardinals", 24, 47]
"Alejandra"	["Red Sox", 51, 34]
"Alejandro"	["Red Sox", 45, 24]
"Alena"	["Cardinals", 34, 58]
"Alessandra"	["Red Sox", 47, 32]
"Alessandro"	["Red Sox", 48, 24]
"Alex"	["Cardinals", 32, 51]
"Alexa"	["Red Sox", 53, 24]
"Alexander"	["Cardinals", 32, 44]
"Alexandra"	["Red Sox", 49, 26]
"Alexandria"	["Red Sox", 45, 32]
"Alexia"	["Cardinals", 38, 55]
"Alexis"	["Cardinals", 33, 50]
"Alexzander"	["Red Sox", 57, 32]
"Alfonso"	["Cardinals", 34, 47]
"Alfred"	["Cardinals", 30, 66]
"Alfredo"	["Cardinals", 25, 49]
"Ali"	["Cardinals", 28, 55]
"Alia"	["Cardinals", 33, 41]
"Aliana"	["Cardinals", 29, 54]
"Alice"	["Red Sox", 52, 13]
"Alicia"	["Red Sox", 40, 31]
"Alijah"	["Cardinals", 30, 53]
"Alina"	["Cardinals", 25, 37]
"Alisa"	["Cardinals", 35, 49]
"Alisha"	["Red Sox", 46, 17]
"Alison"	["Red Sox", 45, 22]
"Alissa"	["Cardinals", 34, 59]
"Alisson"	["Cardinals", 30, 51]
"Alivia"	["Cardinals", 27, 45]
"Aliya"	["Red Sox", 43, 32]
"Aliyah"	["Red Sox", 45, 27]
"Aliza"	["Red Sox", 47, 25]
"Allan"	["Red Sox", 43, 30]
"Allen"	["Red Sox", 51, 31]
"Allie"	["Red Sox", 49, 30]
"Allison"	["Cardinals", 29, 51]
"Ally"	["Cardinals", 29, 50]
"Allyson"	["Cardinals", 30, 38]
"Alma"	["Red Sox", 57, 32]
"Alondra"	["Red Sox", 39, 27]
"Alonso"	["Red Sox", 38, 29]
"Alonzo"	["Cardinals", 31, 48]
"Alvaro"	["Red Sox", 54, 19]
"Alvin"	["Cardinals", 23, 52]
