d,j,a,b,c,e,f,g,h,i,k,l,m,n
2.14,1.28,1,13.2,1.78,11.2,100,2.65,2.76,0.26,4.38,1.05,3.4,1050
2.87,1.82,1,13.24,2.59,21.0,118,2.8,2.69,0.39,4.32,1.04,2.93,735
2.45,1.97,1,14.2,1.76,15.2,112,3.27,3.39,0.34,6.75,1.05,2.85,1450
2.45,1.98,1,14.39,1.87,14.6,96,2.5,2.52,0.3,5.25,1.02,3.58,1290
2.61,1.25,1,14.06,2.15,17.6,121,2.6,2.51,0.31,5.05,1.06,3.58,1295
2.17,1.98,1,14.83,1.64,14.0,97,2.8,2.98,0.29,5.2,1.08,2.85,1045
2.27,1.85,1,13.86,1.35,16.0,98,2.98,3.15,0.22,7.22,1.01,3.55,1045
2.3,2.38,1,14.1,2.16,18.0,105,2.95,3.32,0.22,5.75,1.25,3.17,1510
2.32,1.57,1,14.12,1.48,16.8,95,2.2,2.43,0.26,5.0,1.17,2.82,1280
2.41,1.81,1,13.75,1.73,16.0,89,2.6,2.76,0.29,5.6,1.15,2.9,1320
2.39,2.81,1,14.75,1.73,11.4,91,3.1,3.69,0.43,5.4,1.25,2.73,1150
2.38,2.96,1,14.38,1.87,12.0,102,3.3,3.64,0.29,7.5,1.2,3.0,1547
2.7,1.46,1,13.63,1.81,17.2,112,2.85,2.91,0.3,7.3,1.28,2.88,1310
2.72,1.97,1,14.3,1.92,20.0,120,2.8,3.14,0.33,6.2,1.07,2.65,1280
2.62,1.72,1,13.83,1.57,20.0,115,2.95,3.4,0.4,6.6,1.13,2.57,1130
2.48,1.86,1,14.19,1.59,16.5,108,3.3,3.93,0.32,8.7,1.23,2.82,1680
2.56,1.66,1,13.64,3.1,15.2,116,2.7,3.03,0.17,5.1,0.96,3.36,845
2.28,2.1,1,14.06,1.63,16.0,126,3.0,3.17,0.24,5.65,1.09,3.71,780
2.65,1.98,1,12.93,3.8,18.6,102,2.41,2.41,0.25,4.5,1.03,3.52,770
2.36,1.69,1,13.71,1.86,16.6,101,2.61,2.88,0.27,3.8,1.11,4.0,1035
2.52,1.46,1,12.85,1.6,17.8,95,2.48,2.37,0.26,3.93,1.09,3.63,1015
2.61,1.66,1,13.5,1.81,20.0,96,2.53,2.61,0.28,3.52,1.12,3.82,845
3.22,1.92,1,13.05,2.05,25.0,124,2.63,2.68,0.47,3.58,1.13,3.2,830
2.62,1.45,1,13.39,1.77,16.1,93,2.85,2.94,0.34,4.8,0.92,3.22,1195
2.14,1.35,1,13.3,1.72,17.0,94,2.4,2.19,0.27,3.95,1.02,2.77,1285
2.8,1.76,1,13.87,1.9,19.4,107,2.95,2.97,0.37,4.5,1.25,3.4,915
2.21,1.98,1,14.02,1.68,16.0,96,2.65,2.33,0.26,4.7,1.04,3.59,1035
2.7,2.38,1,13.73,1.5,22.5,101,3.0,3.25,0.29,5.7,1.19,2.71,1285
2.36,1.95,1,13.58,1.66,19.1,106,2.86,3.19,0.22,6.9,1.09,2.88,1515
2.36,1.97,1,13.68,1.83,17.2,104,2.42,2.69,0.42,3.84,1.23,2.87,990
2.7,1.35,1,13.76,1.53,19.5,132,2.95,2.74,0.5,5.4,1.25,3.0,1235
2.65,1.54,1,13.51,1.8,19.0,110,2.35,2.53,0.29,4.2,1.1,2.87,1095
2.41,1.86,1,13.48,1.81,20.5,100,2.7,2.98,0.26,5.1,1.04,3.47,920
2.84,1.36,1,13.28,1.64,15.5,110,2.6,2.68,0.34,4.6,1.09,2.78,880
2.55,1.44,1,13.05,1.65,18.0,98,2.45,2.43,0.29,4.25,1.12,2.51,1105
2.1,1.37,1,13.07,1.5,15.5,98,2.4,2.64,0.28,3.7,1.18,2.69,1020
2.51,2.08,1,14.22,3.99,13.2,128,3.0,3.04,0.2,5.1,0.89,3.53,760
2.31,2.34,1,13.56,1.71,16.2,117,3.15,3.29,0.34,6.13,0.95,3.38,795
2.12,1.48,1,13.41,3.84,18.8,90,2.45,2.68,0.27,4.28,0.91,3.0,1035
2.59,1.7,1,13.88,1.89,15.0,101,3.25,3.56,0.17,5.43,0.88,3.56,1095
2.29,1.66,1,13.24,3.98,17.5,103,2.64,2.63,0.32,4.36,0.82,3.0,680
2.1,2.03,1,13.05,1.77,17.0,107,3.0,3.0,0.28,5.04,0.88,3.35,885
2.44,1.25,1,14.21,4.04,18.9,111,2.85,2.65,0.3,5.24,0.87,3.33,1080
2.28,2.19,1,14.38,3.59,16.0,102,3.25,3.17,0.27,4.9,1.04,3.44,1065
